iLISI_scaled,graph_conn_scaled,pcr_scaled,silhouette_batch_scaled,avg_score,type,homology_method,integration_method,iLISI_scaled_rank,graph_conn_scaled_rank,pcr_scaled_rank,silhouette_batch_scaled_rank
0.45509694500882686,0.9883840436234327,0.8434494132149986,0.8865276586048483,0.7933645151130266,scVI higher expression,higher expression,scVI,16,5,4,5
0.45449513283997417,0.9883840436234327,0.8434447318138935,0.8865276586048483,0.7932128917205372,scVI stronger homology,stronger homology,scVI,17,5,5,5
0.44869287411440467,1,0.8278386801264797,0.8834582352772665,0.7899974473795377,scVI one2one only,one2one only,scVI,18,1,6,6
0.9492816311918836,0.4510619993778813,0.9995579533454939,0.7368714972502951,0.7841932702913884,LIGER stronger homology,stronger homology,LIGER,2,20,2,15
0.947955868520926,0.4517209138518758,1,0.7370563961566451,0.7841832946323617,LIGER higher expression,higher expression,LIGER,3,19,1,14
1,0.3460278164429402,0.9907603232848685,0.741272136373675,0.7695150690253709,LIGER one2one only,one2one only,LIGER,1,21,3,13
0.6267799899040292,0.8998282501182391,0.6971414768608521,0.8298005779700904,0.7633875737133028,harmony stronger homology,stronger homology,harmony,10,12,11,8
0.6205557262689231,0.9006510828625972,0.6959747529231195,0.8296646584795896,0.7617115551335574,harmony one2one only,one2one only,harmony,13,11,12,9
0.6247102265449518,0.8950659975070336,0.6971651553857459,0.829813280404121,0.7616886649604631,harmony higher expression,higher expression,harmony,11,13,10,7
0.6377010940051643,0.9944728375272026,0.6754782861636759,0.6159829198112796,0.7309087843768307,seuratRPCA one2one only,one2one only,seuratRPCA,8,4,14,21
0.6240240979205305,0.9972603994357879,0.6635624149035203,0.6177945883554149,0.7256603751538134,seuratRPCA higher expression,higher expression,seuratRPCA,12,3,15,19
0.6318621671545069,0.9689335635108367,0.6779016987876638,0.6169680227646382,0.7239163630544114,seuratRPCA stronger homology,stronger homology,seuratRPCA,9,9,13,20
0.7463146798003935,0.9980153349176172,0.38728826767302016,0.6541625916832287,0.6964452185185649,seuratCCA higher expression,higher expression,seuratCCA,5,2,18,17
0.7424962563492638,0.9672009346730787,0.3868450849774594,0.6541479831637111,0.6876725647908781,seuratCCA stronger homology,stronger homology,seuratCCA,6,10,19,18
0.7487958169091937,0.8681422039157873,0.3914650093572698,0.6544317226716121,0.6657086882134657,seuratCCA one2one only,one2one only,seuratCCA,4,14,17,16
0.27495018025608237,0.9753132235399282,0.23013670814936446,0.9039283102732893,0.5960821055546661,fastMNN higher expression,higher expression,fastMNN,19,7,21,2
0.2725543531366156,0.97663466948724,0.23017974746965159,0.9039278540489754,0.5958241560356207,fastMNN stronger homology,stronger homology,fastMNN,21,6,20,3
0.2728895140333864,0.9733644202024021,0.22780566716397307,0.9031953514389341,0.5943137382096739,fastMNN one2one only,one2one only,fastMNN,20,8,22,4
7.778811156607137e-4,0.628018385773323,0.6552248875840618,1,0.5710052886182614,SAMap full,full,SAMap,25,15,16,1
0.6522575673725295,0,0.8265093732722035,0.131899852877769,0.4026666983806255,LIGER_UINMF one2one only,one2one only,LIGER_UINMF,7,23,7,22
0.5907811493544487,0.2559867196042923,0.7423306454409431,0,0.397274628599921,LIGER_UINMF higher expression,higher expression,LIGER_UINMF,14,22,8,23
0.5889867033675292,0.2559867196042923,0.7423248223165029,0,0.3968245613220811,LIGER_UINMF stronger homology,stronger homology,LIGER_UINMF,15,22,9,23
0.23190050823428351,0.5473972894002956,0.001341992684757638,0.7624529755967717,0.3857731914790271,scanorama higher expression,higher expression,scanorama,23,16,24,11
0.2341737173433824,0.5374896724734652,0,0.7544193850795637,0.38152069372410286,scanorama one2one only,one2one only,scanorama,22,17,25,12
0.23110821261326178,0.49180451941110337,0.0016605158040599165,0.767333887606514,0.3729767838587348,scanorama stronger homology,stronger homology,scanorama,24,18,23,10
